,Month,Average Temperature
0,January,18.73129032258063
1,February,24.394999999999985
2,March,37.618225806451605
3,April,44.616749999999975
4,May,61.22798387096768
5,June,68.24124999999998
6,July,73.02209677419353
7,August,72.10274193548379
8,September,61.6719999999999
9,October,51.71895161290322
10,November,33.676500000000004
11,December,26.04862903225806
